NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,4,2,2,8,2,2,4,4,4,2,8,2,2,4,4,4,2,8,1,5,6,8,2,4,2,2,2,2,4,2,2,6,8,2,2,8,3,2,4,2,4,4,2,2,2,4,2,2,2,4,2,4,4,4,2,4,4,2,4,2,4,2,2,2,2,2,8,2,2,2,2,4,2,8,2,2,2,8,4,4,2,8,8,8,4,2,8,2,8,8,6,6,2,2,2,4,2,8,8,5,2,2,2,8,2,2,8,3,4,2,4,6,8,2,8,8,6,6,4,6,6,6,8,2,4,6,8,4,6,2,1,4,6,7,5,6,6,4,6,8,8,6,4,4,2,2,2,8,2,2,8,6,4,2,2,2,6,7,6,8,6,6,6,6,6,8,4,6,6,6,6,8,6,8,8,2,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,2,2,8,4,4,4,2,2,2,8,8,8,4,4,4,4,2,8,6,6,8,2,8,2,2,8,4,2,4,4,2,8,8,8,2,2,8,2,1,4,4,4,4,4,4,2,4,2,4,2,4,2,2,4,3,2,2,2,2,2,2,8,2,2,2,2,2,2,4,2,2,2,2,2,8,8,6,2,4,4,2,8,8,8,4,2,8,8,2,8,6,8,5,4,4,4,2,2,8,6,8,4,1,8,7,6,6,6,4,2,4,6,8,6,8,6,6,4,4,6,4,6,8,4,4,6,8,6,8,8,4,4,6,8,6,8,6,6,7,8,6,6,4,2,4,2,2,8,2,2,8,8,8,2,2,2,8,6,8,8,6,6,8,6,4,6,6,8,4,6,8,8,8,8,1,8,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2,6,5,6,4,4,4,2,6,8,8,4,4,6,2,2,6,8,8,6,6,8,6,2,4,2,5,5,4,2,8,2,8,4,4,2,1,4,6,2,4,2,2,2,6,4,4,2,3,2,4,2,4,2,2,2,3,2,2,2,2,4,2,2,6,8,8,2,3,2,8,8,2,2,8,8,8,8,4,2,2,8,8,4,2,8,8,8,2,8,8,4,4,4,2,6,4,2,8,8,4,2,1,8,6,8,4,6,6,4,6,6,6,8,6,6,6,6,4,4,6,8,4,7,6,4,5,8,6,5,4,6,8,6,4,6,6,6,8,6,8,6,4,4,2,2,8,6,2,8,8,4,6,8,2,1,8,8,6,6,8,4,6,4,4,6,6,7,8,8,2,8,7,6,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,4,4,4,4,4,4,2,8,8,6,4,4,4,4,2,1,8,6,8,8,2,8,4,2,4,4,4,2,2,8,2,8,4,2,4,4,6,4,4,2,1,2,4,4,4,2,2,4,2,4,4,2,4,2,3,2,2,1,4,2,2,4,2,1,2,2,2,8,2,2,8,2,2,2,1,8,4,3,2,1,2,8,6,2,8,8,8,6,8,4,4,2,2,2,4,2,2,4,1,7,2,8,5,6,4,6,4,4,4,4,6,8,8,6,8,4,6,4,6,6,4,4,6,4,6,8,5,8,8,6,6,8,6,4,4,4,4,6,6,8,6,6,2,2,8,8,8,8,6,8,5,4,6,4,2,1,8,8,8,6,6,6,6,8,8,8,6,8,8,8,2,8,8,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,3,2,4,2,4,2,2,8,8,4,4,2,4,2,2,6,8,8,8,8,8,2,1,2,4,2,4,2,8,8,8,4,2,4,6,4,4,2,1,2,4,2,4,2,8,4,2,4,4,2,8,2,3,2,4,2,2,2,4,2,4,2,2,2,4,2,2,8,4,1,8,2,2,2,8,8,4,2,1,8,4,4,2,6,8,6,8,8,2,2,2,4,4,4,4,2,8,8,8,4,2,8,4,4,4,4,2,2,4,4,6,6,8,6,8,6,2,6,6,8,4,6,4,5,6,4,5,8,6,6,6,6,4,4,4,4,4,4,6,4,3,2,2,8,4,1,8,8,8,4,6,4,2,2,2,2,8,8,8,8,8,8,2,2,2,8,2,8,4,2,1,8,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,4,2,4,2,3,2,2,2,2,8,3,2,4,2,2,2,8,8,2,2,8,1,6,6,4,2,2,2,2,2,8,8,4,6,4,4,4,2,8,4,6,2,4,4,2,2,2,2,2,2,2,2,2,4,2,2,3,2,2,2,2,2,2,4,2,8,2,2,8,2,2,8,2,2,2,2,8,3,2,8,1,6,4,4,1,6,8,8,8,6,2,2,1,4,2,2,2,2,2,8,8,2,2,2,2,4,2,2,8,4,4,4,6,6,6,6,5,4,6,8,8,6,6,7,2,6,8,6,4,4,4,4,4,4,4,4,4,4,4,4,3,8,6,8,2,2,2,2,8,6,4,4,2,4,2,8,2,2,2,8,2,8,2,8,8,4,2,8,2,2,2,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,4,2,2,3,4,2,2,3,4,2,8,2,6,4,2,2,2,2,8,8,2,5,6,7,8,4,4,2,4,2,8,1,4,4,5,4,2,8,4,4,4,4,4,2,4,4,4,2,4,2,2,2,2,8,2,2,8,2,2,2,4,2,8,4,2,8,4,4,2,8,2,2,4,4,2,6,2,8,2,2,8,4,4,2,8,1,8,8,6,8,1,3,4,2,2,2,2,2,2,8,2,8,2,2,8,2,2,2,4,4,2,6,4,6,4,6,6,6,4,4,6,6,8,6,6,6,4,4,4,4,4,4,4,4,4,4,2,2,8,4,2,2,8,8,6,6,6,7,8,4,4,2,8,6,2,8,4,2,8,7,4,1,2,2,8,8,8,2,8,8,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2,4,6,4,6,6,5,6,4,2,8,4,4,2,2,4,2,8,6,8,6,8,6,8,8,4,2,3,4,2,2,8,4,4,4,2,8,8,2,2,2,2,2,6,2,2,2,2,2,2,2,4,2,1,2,8,2,2,2,2,2,8,2,2,2,2,4,4,2,8,6,6,4,2,4,4,2,2,2,4,4,4,4,2,8,6,2,8,8,8,8,4,4,6,4,6,4,6,5,6,6,7,2,8,4,4,2,8,4,6,4,4,4,6,5,4,6,8,6,6,4,6,5,6,6,4,4,4,4,4,4,4,4,2,4,2,2,1,4,2,8,4,2,8,8,8,7,8,8,4,2,2,2,8,2,2,4,2,1,8,2,2,8,2,8,2,8,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,4,6,4,4,4,4,2,2,1,5,4,4,6,4,2,8,8,6,8,6,6,6,8,6,8,4,4,3,8,4,4,4,2,2,2,4,4,3,8,4,4,4,2,2,2,2,2,8,2,1,2,2,2,1,8,8,4,2,2,2,4,2,8,4,4,2,2,2,8,8,8,2,2,2,8,8,4,2,2,4,4,2,2,8,8,8,8,8,8,2,4,4,6,4,6,8,4,5,6,8,8,6,4,2,2,6,2,4,6,4,4,6,5,5,4,6,4,4,6,8,6,4,4,4,4,3,2,2,2,2,8,4,2,1,4,2,2,2,2,8,2,2,4,2,2,2,8,8,4,2,4,2,8,2,4,2,2,8,2,2,2,2,1,8,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,4,4,3,2,4,2,8,2,8,4,4,2,4,2,8,2,8,8,7,8,8,8,6,8,8,4,2,2,2,4,2,2,4,2,8,4,4,2,6,4,4,2,2,4,2,2,2,2,2,2,2,8,2,2,8,8,8,4,3,2,2,8,8,3,2,4,2,2,2,8,8,4,4,2,8,4,4,4,4,4,4,2,2,2,8,8,2,8,8,4,6,4,6,4,4,6,6,8,6,8,2,6,6,2,4,4,6,6,4,6,7,6,4,4,6,4,4,6,4,4,4,2,4,4,3,2,2,2,4,2,8,2,8,4,2,2,8,8,2,8,2,8,2,6,6,6,2,2,6,4,2,2,2,6,2,8,2,4,2,4,2,2,1,2,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,2,6,4,2,8,4,2,8,3,2,4,4,2,8,8,4,2,2,8,2,2,8,8,6,6,8,2,6,4,4,4,2,8,2,4,2,2,4,2,2,4,4,4,2,8,2,8,8,2,8,4,2,8,2,8,6,6,8,2,2,2,2,4,3,4,2,2,2,1,8,8,8,2,2,4,4,4,4,4,2,2,2,8,2,8,8,8,8,4,4,6,6,8,4,5,6,8,6,6,6,4,6,6,6,4,4,5,6,6,6,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,8,2,2,8,8,2,4,2,2,4,2,8,2,6,8,2,8,6,8,8,1,5,6,8,2,2,2,8,8,2,8,2,8,2,2,8,8,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,8,2,2,2,4,2,4,4,4,2,6,8,2,4,1,6,8,2,4,6,8,4,6,8,4,2,4,2,2,8,6,5,8,6,6,4,2,4,2,1,2,4,2,8,2,2,4,2,1,2,2,1,8,6,8,6,8,1,4,4,4,2,8,2,2,2,8,8,8,2,4,4,4,4,4,4,2,8,8,1,8,8,8,4,4,4,4,5,8,4,4,6,2,8,6,5,6,6,8,6,6,4,6,4,4,6,8,5,4,2,2,4,2,8,2,2,8,2,2,8,2,8,4,3,2,8,4,2,2,4,4,2,8,2,8,2,8,2,8,2,2,8,6,7,8,6,7,2,8,4,2,2,4,4,2,8,8,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,8,3,2,2,8,4,2,4,2,2,8,8,4,3,2,8,8,6,4,6,6,8,8,8,4,4,2,2,8,5,4,6,4,4,4,2,4,4,2,8,4,2,2,8,8,8,4,2,8,8,2,2,2,8,8,8,8,4,4,2,2,8,4,2,2,8,2,2,8,5,2,4,2,4,4,4,2,2,2,8,1,8,8,8,4,4,2,2,6,2,4,6,4,6,8,4,5,6,6,8,6,8,4,3,8,4,6,4,2,8,1,2,2,2,8,2,1,4,2,6,2,2,4,2,8,8,2,2,1,2,2,8,4,2,8,2,1,3,2,2,2,2,8,8,8,8,8,2,2,8,8,8,4,2,2,2,8,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,2,4,4,4,4,3,8,1,6,7,2,4,2,8,6,6,7,8,2,8,2,4,3,2,2,4,4,4,4,3,2,2,2,4,2,8,2,2,4,2,2,2,4,2,2,8,8,6,2,4,2,2,2,8,4,4,2,2,8,4,2,2,2,2,8,8,4,6,6,4,5,6,2,1,1,8,2,6,1,8,8,4,4,4,6,4,6,6,6,4,4,6,6,4,4,6,8,6,6,4,2,2,4,4,2,8,2,8,8,6,4,2,2,8,4,2,8,1,2,2,2,2,2,8,2,2,8,2,8,6,2,8,8,2,1,8,2,1,8,2,2,8,7,2,8,2,2,8,8,2,1,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,4,4,2,2,2,8,8,8,4,4,2,8,1,8,8,2,8,6,4,8,2,2,1,4,4,4,2,8,2,4,4,4,3,8,6,8,2,1,2,8,8,2,2,2,8,8,6,2,2,8,8,1,3,2,4,2,8,4,2,8,2,2,2,6,4,4,6,6,4,6,2,2,6,1,6,8,8,8,8,4,6,6,4,6,4,6,6,4,4,4,4,4,4,4,4,4,4,2,2,8,2,4,2,2,8,2,8,4,3,2,2,2,6,2,2,2,8,4,4,2,2,2,8,2,4,2,1,8,2,2,6,8,2,8,2,2,4,2,2,8,4,3,2,6,2,2,8,8,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
